Vardas                 Pavarde            ND1            ND2            ND3            ND4            ND5      Egzaminas
Slimonas           Dvejetaitis              5              4              6             10              7              4
Mastas             Astuntaitis              4              9              6              6             10              2
Aslanas               Bitaitis              1              3              9              8              7              6
Laurisa           Dvejetaityte              7              8              6              6              7              3
Agatsa               Bugovaite              9              4              4              3              2              2
Agatsa           Aritmetikaite              9              6              7              6              5              5
Laurisa              Bugovaite              1              2              9              3              3              3
Gabrisele            Grafikyte              9              1              2             10              8              1
Sinsija          Aritmetikaite              3              5              8              6              5              3
Sinsija          Aritmetikaite              8              5              7              9              6              3
Laurisa              Bugovaite              7              5              9              8              1              8
Sinsija              Bugovaite              5              5              5              6              1             10
Luskas             Dvejetaitis              2              2              6              4              1              8
Mastas                 Bugovas              8              3              4              6             10              1
Slimonas              Bitaitis              7              9              1             10              6              3
Slimonas              Bitaitis             10              2              4              3              4              1
Mastas                Bitaitis             10              8              9              2              3              3
Luskas             Aritmetikas              2              6             10              9              7              1
Slimonas              Baitenis              7              2              8              8              8              3
Vistorija           Indeksaite              1             10             10              9              2              4
Sinsija              Grafikyte              2              4              4              3              7             10
Agatsa                 Baituke              8              8              9              2             10              9
Laurisa             Indeksaite              2              5              3              3              9              1
Dovysdas           Astuntaitis              4              9              4              1              3              2
Agatsa           Aritmetikaite              7              9              5              6              4              7
Dovysdas           Dvejetaitis              9              9              3              7              2              8
Agatsa                 Bitaite              8              4              5              1              2              6
Aslanas                Bugovas              6              9              3              8              1              8
Aslanas            Aritmetikas              4              3              7              8              1             10
Aslanas            Astuntaitis              6              9              7              5              8              5
Agatsa            Informaityte              7              4              4              2              9              8
Slimonas              Grafikis              5              4              2              8              1              2
Vistorija            Grafikyte              9              2              2              5              7              9
Gabrisele              Bitaite              6              3              1              6              2              8
Aslanas                Bugovas              6              9              9              7              2              2
Aslanas            Dvejetaitis              9              7              1              4              5             10
Laurisa                Baituke              6              8              8              2              7              7
Gabrisele         Informaityte              1              7              9              3              4              4
Slimonas          Informatikas              5              4              7              2             10              4
Sinsija              Bugovaite              8              3              4              8              5              7
Sinsija        Sesioliktaityte              6              7             10              4              5              5
Laurisa          Aritmetikaite              4              1              3              5              6              5
Agatsa            Dvejetaityte              3              7              1              7              6             10
Gabrisele         Astuntainyte             10              8              1              3              4              4
Gabrisele         Dvejetaityte              3              9              8              3              4              9
Aslanas                Bugovas              3             10              3              3              2              1
Laurisa                Baituke             10              3              6              1              3              3
Vistorija           Indeksaite              8              4              7              4              6              2
Agatsa           Aritmetikaite              3              2             10              7              4              3
Vistorija        Aritmetikaite              7              9              8              9              1              6
